name,postal_code,country_code
 Koper/Capodistria,6000,SI
 Koper/Capodistria – P.P.,6001,SI
 Sežana,6210,SI
 Divača,6215,SI
 Podgorje,6216,SI
 Vremski Britof,6217,SI
 Lokev,6219,SI
 Dutovlje,6221,SI
 Štanjel,6222,SI
 Komen,6223,SI
 Senožeče,6224,SI
 Hruševje,6225,SI
 Postojna,6230,SI
 Planina,6232,SI
 Kozina,6240,SI
 Materija,6242,SI
 Obrov,6243,SI
 Podgrad,6244,SI
 Ilirska Bistrica,6250,SI
 Ilirska Bistrica-Trnovo,6251,SI
 Knežak,6253,SI
 Jelšane,6254,SI
 Prem,6255,SI
 Košana,6256,SI
 Pivka,6257,SI
 Prestranek,6258,SI
 Dekani,6271,SI
 Gračišče,6272,SI
 Marezige,6273,SI
 Šmarje,6274,SI
 Črni Kal,6275,SI
 Pobegi,6276,SI
 Ankaran/Ancarano,6280,SI
 Škofije,6281,SI
 Izola/Isola,6310,SI
 Portorož/Portorose,6320,SI
 Piran/Pirano,6330,SI
 Sečovlje/Sicciole,6333,SI
 Novo mesto,8000,SI
 Novo mesto – P.P.,8001,SI
 Trebnje,8210,SI
 Dobrnič,8211,SI
 Velika Loka,8212,SI
 Veliki Gaber,8213,SI
 Mirna Peč,8216,SI
 Šmarješke Toplice,8220,SI
 Otočec,8222,SI
 Mokronog,8230,SI
 Trebelno,8231,SI
 Šentrupert,8232,SI
 Mirna,8233,SI
 Brežice,8250,SI
 Čatež ob Savi,8251,SI
 Artiče,8253,SI
 Globoko,8254,SI
 Pišece,8255,SI
 Sromlje,8256,SI
 Dobova,8257,SI
 Kapele,8258,SI
 Bizeljsko,8259,SI
 Jesenice na Dolenjskem,8261,SI
 Krška vas,8262,SI
 Cerklje ob Krki,8263,SI
 Krško,8270,SI
 Zdole,8272,SI
 Leskovec pri Krškem,8273,SI
 Raka,8274,SI
 Škocjan,8275,SI
 Bučka,8276,SI
 Brestanica,8280,SI
 Senovo,8281,SI
 Koprivnica,8282,SI
 Blanca,8283,SI
 Sevnica,8290,SI
 Zabukovje,8292,SI
 Studenec,8293,SI
 Boštanj,8294,SI
 Tržišče,8295,SI
 Krmelj,8296,SI
 Šentjanž,8297,SI
 Šentjernej,8310,SI
 Kostanjevica na Krki,8311,SI
 Podbočje,8312,SI
 Brusnice,8321,SI
 Stopiče,8322,SI
 Uršna sela,8323,SI
 Metlika,8330,SI
 Suhor,8331,SI
 Gradac,8332,SI
 Semič,8333,SI
 Črnomelj,8340,SI
 Adlešiči,8341,SI
 Stari trg ob Kolpi,8342,SI
 Dragatuš,8343,SI
 Vinica,8344,SI
 Dolenjske Toplice,8350,SI
 Straža,8351,SI
 Žužemberk,8360,SI
 Dvor,8361,SI
 Hinje,8362,SI
 Murska Sobota,9000,SI
 Murska Sobota – P.P.,9001,SI
 Puconci,9201,SI
 Mačkovci,9202,SI
 Petrovci,9203,SI
 Šalovci,9204,SI
 Hodoš/Hodos,9205,SI
 Križevci,9206,SI
 Prosenjakovci/Partosfalva,9207,SI
 Fokovci,9208,SI
 Lendava/Lendva,9220,SI
 Martjanci,9221,SI
 Bogojina,9222,SI
 Dobrovnik/Dobronak,9223,SI
 Turnišče,9224,SI
 Velika Polana,9225,SI
 Moravske Toplice,9226,SI
 Kobilje,9227,SI
 Beltinci,9231,SI
 Črenšovci,9232,SI
 Odranci,9233,SI
 Ljutomer,9240,SI
 Veržej,9241,SI
 Križevci pri Ljutomeru,9242,SI
 Mala Nedelja,9243,SI
